Style_ID,Category,Mood,Camera_Motion,Environmental_Dynamics,Video_Prompt
VID_DRN_015,Drone Aerial,Modern,Tracking Subject,Car pulling in,"Drone smoothly tracks a luxury car pulling into the driveway. Match the vehicle's velocity perfectly, then pan up to frame the house as the car comes to a halt."
VID_DRN_016,Drone Aerial,Establishing,Crane Up & Tilt Down,Horizon reveal,"Drone starts at ground level looking straight ahead, rises vertically 50 feet, and slowly tilts the gimbal down to 45 degrees, revealing the geometric layout of the property."
VID_DRN_017,Drone Aerial,Night Luxury,Orbit,Practicals glowing,"Nighttime drone orbit. The sky is deep black. The house is illuminated purely by warm exterior landscape lighting and glowing windows. Lights do not flicker; perfect temporal stability."
VID_DRN_018,Drone Aerial,Action,Fast Skim,Surface tension,"Drone skims incredibly fast just inches above a flat surface (driveway or water) toward the house, decelerating smoothly right before impact. Intense foreground speed blur."
VID_DRN_019,Drone Aerial,Transition,Ascend to Cloud,Atmospheric,"Drone flies straight up from the backyard, accelerating into the sky until the camera is swallowed by a volumetric, realistic passing cloud. Perfect for scene transitions."
VID_DRN_020,Drone Aerial,Symmetrical,Dead-Center Push,Perfect alignment,"Perfectly centered, symmetrical drone push-in toward the main entrance. Zero lateral drift. The architecture scales up mathematically perfectly without AI warping."
VID_DOL_021,Dolly Interior,Architectural,Slow Push-In,Volumetric light rays,"Heavy, stabilized cinema dolly-in. Camera pushes physically through the hallway 3D space. Harsh, directional sunlight cuts through windows, creating visible, moving volumetric dust motes in the air."
VID_DOL_022,Dolly Interior,Intimate/Cozy,Micro-Slider Left,Soft light falloff,"Macro-level slider movement along a textured surface. Camera trucks left very slowly. Extremely shallow depth of field (f/1.4). Background living space is wrapped in creamy bokeh with soft light falloff."
VID_DOL_023,Dolly Exterior,Grand Entrance,Dolly Out & Tilt Up,Shadows lengthening,"Start tight on the luxury front door, execute a smooth dolly backward down the walkway while tilting up to reveal the full height of the house. Motion is perfectly linear."
VID_DOL_024,Dolly Interior,Spatial Depth,Push Through Doorway,Threshold parallax,"Cinematic push-through. Camera starts in a dimly lit room, dollying perfectly straight through a doorway threshold into a bright living room. Massive foreground parallax emphasizes 3D depth."
VID_DOL_025,Dolly Interior,High-End Retail,Lateral Track,Specular glint rolling,"Perfectly smooth horizontal truck-right movement parallel to a luxury kitchen. Lighting is highly controlled. Sharp specular highlights roll fluidly across glossy surfaces and metal hardware."
VID_DOL_026,Dolly Interior,Dynamic,Whip Pan to Push,Action blur,"Fast whip-pan from a blank wall ending locked onto a textured stone fireplace, immediately transitioning into a slow, tense dolly-in. Harsh side-light emphasizes 3D grooves."
VID_DOL_027,Dolly Interior,Scale Reveal,Pedestal Up,Chandelier glint,"Camera starts at waist height and executes a smooth, robotic vertical pedestal up to 8 feet high. The motion reveals the full depth of the room. Overhead glass chandeliers catch light dynamically."
VID_DOL_028,Dolly Interior,Symmetrical,Center Push,Bilateral perfection,"Wes Anderson-style dead-center symmetrical composition of a grand hallway. Perfectly straight, slow dolly-in. Left and right sides of the frame remain perfectly balanced."
VID_DOL_029,Dolly Interior,Hitchcock,Dolly Zoom (Zolly),Perspective warp,"Subtle dolly-zoom. The camera slowly dollies backward while simultaneously zooming in optically. Foreground furniture remains the exact same size while the background walls compress dramatically."
VID_DOL_030,Dolly Interior,Living Space,Arc/Orbit,Shadow shifting,"Smooth, 90-degree arc shot tracking around a central coffee table or island. Deep parallax between the foreground object and the background walls. Shadows physically shift across the floor."
VID_DOL_031,Dolly Interior,Detail Focus,Reverse Track,Expanding view,"Slow backward tracking shot pulling away from a tight detail (like a vase). The room's architecture slowly encroaches on the edges of the frame, revealing the wide space."
VID_DOL_032,Dolly Interior,Organic,Handheld Drift,Subtle sway,"Cinematic handheld style. A very slow, organic, breathing camera movement. Gently drifting forward and swaying slightly to mimic human presence walking through the space."
VID_DOL_033,Dolly Interior,Luxury Floor,Low Dolly Push,Reflections,"Camera is positioned 1 foot off the ground. Smooth push forward over high-gloss marble or hardwood. The floor reflects the ceiling lights with perfect, dynamic geometric accuracy."
VID_DOL_034,Dolly Exterior,Reveal,Lateral Truck Left,Foreground block,"Camera trucks left. A massive foreground element (like a concrete pillar or tree trunk) wipes across the lens, revealing the stunning modern backyard and pool in sharp focus."
VID_DOL_035,Dolly Interior,High-Energy,Fast Push Over Counter,Motion blur,"High-kinetic energy. Camera pushes rapidly over the kitchen island toward the stove. Slight motion blur on the foreground objects. Sleek, modern, fast-paced."
VID_DOL_036,Dolly Interior,Moody,Slow Creep,TV/Screen glow,"Start static, then a very slow creep forward. Room is dimly lit. A television or media screen emits a soft, shifting, blue/white ambient glow illuminating the furniture."
VID_DOL_037,Dolly Interior,Flow,Steadicam Follow,Dust motes,"Smooth Steadicam tracking shot moving forward from foyer into main living space. Slow, deliberate pacing. Sunbeams filter through windows with visible, slowly drifting dust motes."
VID_DOL_038,Dolly Interior,Ceiling Focus,Tilt Up & Push,Skylight parallax,"Start focused on modern furniture, execute a smooth continuous tilt upwards while pushing forward to reveal vaulted ceilings and skylights. Perfect vertical alignment is maintained."
VID_DOL_039,Dolly Interior,Morning Vibe,Diagonal Slide,Sunlight crawling,"Slow lateral slider movement mixed with a forward push. As camera moves, morning sunlight creeps slowly across the hardwood floor. High-key, bright, crisp textures."
VID_DOL_040,Dolly Interior,Seamless Handover,Velocity Match,Perfect 3D track,"Match the exact composition of the anchor frame. Start completely static, then ease seamlessly into a fluid 3D push-in. No pixel stuttering; strict geometric retention."
VID_SUN_041,Sunset/Twilight,Golden Hour,Slow Arc,Lens flare shifting,"Golden hour exterior wide. Sun is low on the horizon, blasting warm amber light across the facade. Slow arc shot. Photorealistic lens flare shifts and bends dynamically across the lens."
VID_SUN_042,Sunset/Twilight,Blue Hour,Static Pan,Practicals glowing,"Deep twilight blue hour. Ambient exterior light is cool and dim. Slow, stabilized pan across the property. Interior and landscape lights glow with warm orange-tungsten contrast."
VID_SUN_043,Sunset/Twilight,Reflection,Drone Hover,Glass reflecting sky,"Drone hovering at second-story height, looking at the modern glass facade. Windows act as perfect mirrors, reflecting an intensely vibrant pink and orange sunset sky. Clouds in reflection move."
VID_SUN_044,Sunset/Twilight,Dusk Transition,Pull Back,Shadows swallowing space,"Late dusk interior. Dolly out from a large window. Exterior light is rapidly fading. Inside, deep corners fall into rich shadow while remaining window light paints the floor coolly."
VID_SUN_045,Sunset/Twilight,Long Shadows,Push-In,Shadows crawling,"Late afternoon golden hour inside. Camera pushes in slowly. Sun is so low it casts dramatically long, stretched shadows of the window frames across the floor. Shadows maintain perfect perspective."
VID_SUN_046,Sunset/Twilight,Time-Lapse,Locked-off Static,Light cycle,"Time-lapse effect. Camera perfectly static. Natural sunlight rapidly sweeps across the floor, fades out, and interior practical lights bloom instantly as night falls."
VID_SUN_047,Sunset/Twilight,Morning Bloom,Static Pan,Exposure ramp,"Start in dark pre-dawn blue hour. Slow pan across the room as the sun breaches the horizon, rapidly warming the room with intense, golden hour volumetric light."
VID_SUN_048,Sunset/Twilight,Dusk Twinkle,Pull Back,City lights turning on,"Camera slowly pulls back from a window. Outside, the sky transitions from purple to black, and city lights or neighborhood streetlights sequentially turn on in the background."
VID_SUN_049,Sunset/Twilight,Exterior Dusk,Drone Hover,Facade lights on,"Drone hovers statically in front of house at blue hour. Exterior landscape and architectural uplighting fade on beautifully, illuminating the facade in warm tones."
VID_SUN_050,Sunset/Twilight,Silhouette,Lateral Track,Sky gradient,"Exterior tracking shot at the very end of sunset. House is completely unlit, forming a stark, graphic black silhouette against a blazing magenta and purple sky. Pure editorial mood."
VID_SUN_051,Sunset/Twilight,Water Reflection,Tilt Down,Sky colors in pool,"Golden hour over a backyard pool. Camera slowly tilts down from the vibrant orange sky to the pool water. The water perfectly reflects the sky, with gentle, fluid ripples."
VID_SUN_052,Sunset/Twilight,Through Trees,Tracking,Strobe sun effect,"Camera tracks sideways past a dense line of trees during sunset. The low sun bursts aggressively through the gaps in the trunks, creating a cinematic, flashing strobe effect on the lens."
VID_SUN_053,Sunset/Twilight,Cozy Evening,Slow Push to Fire,Fireplace flickering,"Cinematic dolly-in toward an outdoor firepit at dusk. Flames are dynamic, flickering naturally and casting shifting, warm ambient light onto the surrounding stone."
VID_SUN_054,Sunset/Twilight,Interior Glow,Push Through Glass,Indoor/Outdoor transition,"Twilight shot pushing from the dark exterior patio through an open sliding glass door into the warmly lit, glowing interior living room. Perfect exposure balance."
VID_SUN_055,Sunset/Twilight,Fade to Black,Slow Dolly Back,Light extinguishing,"Moody end-of-video shot. Camera dollies back slowly in a dimly lit room. The last remnants of sunset fade from the window, and the room falls into deep, cinematic blackness."
VID_SUN_056,Sunset/Twilight,High Contrast,Static,Sun dipping behind roof,"Locked off low-angle shot. The sun physically dips behind the sharp architectural roofline, instantly changing the exposure from bright high-key to a moody, silhouetted blue hour."
VID_SUN_057,Sunset/Twilight,Warmth,Macro Slider,Sun across wood,"Macro close-up on a hardwood floor or dining table. Slow slide right. A sharp beam of golden hour sunlight physically moves across the wood grain, revealing rich texture."
VID_SUN_058,Sunset/Twilight,City View,Push to Balcony,Skyline parallax,"Twilight push-in from the penthouse interior out toward the balcony. The city skyline in the background exhibits massive 3D parallax and twinkling lights against a purple sky."
VID_SUN_059,Sunset/Twilight,Atmospheric,Drone Pull-Up,Mist at dusk,"Drone pulls straight up above the property at dusk. A cool, atmospheric mist settles over the ground while the sky burns with remaining sunset colors."
VID_SUN_060,Sunset/Twilight,Match Cut Bridge,Day to Night,Seamless transition,"Anchor A is noon lighting, Anchor C is midnight. Generate a seamless, locked-off transition that bridges the two by rapidly accelerating the shifting shadows and lighting changes."
VID_LGT_061,Lighting Logic,Dappled Sunlight,Handheld Drift,Canopy shadow shift,"Cinematic handheld drift in a sunroom. Light filters through a dense tree canopy outside, casting intricate, dappled sunlight patterns. As wind blows outside, dappled light dances dynamically."
VID_LGT_062,Lighting Logic,Overcast Softbox,Slow Pedestal,Smooth roll-off,"Overcast, diffused daylight exterior. No harsh shadows. Light wraps softly around the building geometry. Slow pedestal up. Materials look incredibly rich and color-accurate."
VID_LGT_063,Lighting Logic,Chiaroscuro/Noir,Slider Right,High contrast reveal,"Moody, high-contrast interior. Room is mostly dark, lit only by a single harsh shaft of light. Camera slides right, slowly revealing luxury furniture as it enters the stark beam."
VID_LGT_064,Lighting Logic,Practical Bloom,Push to Subject,Atmospheric haze,"Nighttime interior. Push-in toward a chandelier. The room has a very subtle cinematic atmospheric haze, causing the light source to bloom and glow softly into the space."
VID_LGT_065,Lighting Logic,Water Caustics,Tilt Down,Reflected light dancing,"Midday bright sun near a pool. Intense, dancing light caustics reflect off the moving water and paint rippling, dynamic light patterns onto the adjacent architectural walls."
VID_LGT_066,Lighting Logic,Neon/Modern,Slow Arc,Color spill,"Ultra-modern home at night with integrated LED strip lighting (blue/purple). Slow arc shot. Colored light spills accurately onto textures, creating deep, rich color gradients."
VID_LGT_067,Lighting Logic,Cloud Cover,Wide Static,Light dimming/brightening,"Locked-off wide shot of a living space. Ambient light in the room dims slightly and then brightens dynamically, simulating thick clouds passing over the sun outside."
VID_LGT_068,Lighting Logic,Fireplace Start,Static Close-up,Ignition,"Camera focused on a dark fireplace. Suddenly the gas ignites, instantly flooding the immediate surrounding area with warm, flickering, dynamic 3D light."
VID_LGT_069,Lighting Logic,Smart Home,Dolly In,Lights sequentially on,"Camera pushes down a dark hallway. As it moves, recessed overhead lights turn on sequentially just ahead of the camera, creating a runway effect."
VID_LGT_070,Lighting Logic,Skylight Shaft,Vertical Pan,Dust motes,"Start at the floor, slowly pan vertically up to a high skylight. A harsh, defined shaft of directional light cuts through the dim room, with dust motes swirling inside the beam."
VID_LGT_071,Lighting Logic,Under-Cabinet,Macro Orbit,Gradients,"Dark kitchen. Slow, deliberate arc shot around the edge of the island. Under-cabinet LED strips glow warmly, casting sharp, beautiful light gradients onto the backsplash."
VID_LGT_072,Lighting Logic,Mirror Bounce,Slide Left,Reflected sunlight,"Camera slides left across a bathroom vanity. A beam of sunlight hits the mirror and physically bounces onto the opposite wall, moving across the tile realistically with the camera motion."
VID_LGT_073,Lighting Logic,Lightning/Storm,Static Wide,Strobe flash,"Moody night interior. Outside the window, a realistic, bright flash of lightning illuminates the entire backyard and casts sudden, sharp, instantaneous shadows across the interior room."
VID_LGT_074,Lighting Logic,Glint & Glare,Fast Tracking,Specular rolls,"Fast tracking shot past a row of stainless steel appliances or glass windows. Extremely sharp, intense specular highlights roll rapidly across the surfaces, blinding the lens briefly."
VID_LGT_075,Lighting Logic,High-Key Wash,Push-In,Overexposure ramp,"Bright, airy morning room. Push-in toward the large windows. The exposure is intentionally pushed high, washing the room in soft, angelic white light with minimal shadow."
VID_LGT_076,Lighting Logic,Warm Amber,Handheld,Sconce glow,"Intimate handheld shot in a hallway. The only light source is a vintage brass wall sconce. The light emits a deep, warm amber hue that falls off rapidly into deep crushed black shadows."
VID_LGT_077,Lighting Logic,Curtain Filter,Dolly Forward,Light softening,"Camera pushes toward a window. Suddenly, a sheer white curtain blows across the window frame, instantly changing the harsh direct sunlight into a soft, beautiful diffused glow in the room."
VID_LGT_078,Lighting Logic,Basement Noir,Push Down Stairs,Shadow expansion,"Camera slowly dollies down a dark staircase. A single bare bulb swings slightly from the ceiling, causing the shadows of the banister to warp and swing dynamically across the walls."
VID_LGT_079,Lighting Logic,Exterior Spotlight,Drone Orbit,Wall grazing,"Night drone orbit. Harsh exterior ground spotlights graze up the textured stone facade. The lighting highlights every bump and ridge in the stone with micro-shadows."
VID_LGT_080,Lighting Logic,Seamless Bridge,Day to Dusk,Temporal shift,"Bridge Anchor A (Day) to Anchor C (Dusk) with a seamless, fluid 3D dolly-in. The physics engine must calculate the rapid darkening of the room while maintaining spatial geometry."
VID_MAC_081,Macro/Detail,Wood/Stone,Slider Left,Grain depth,"Extreme close-up on natural wood grain. Slow, consistent slider movement left. Harsh side-lighting rakes across the surface, highlighting the deep 3D relief of the texture."
VID_MAC_082,Macro/Detail,Glass/Metal,Arc Orbit,Refraction shift,"Close-up on a glass partition or hardware. Smooth orbital camera movement. The background refracts and bends through the glass dynamically. Specular highlights slide smoothly."
VID_MAC_083,Macro/Detail,Water/Liquid,Slow Push,Surface tension,"Close-up on a pool edge or fountain. Very slow push-in. Water surface ripples gently, catching sunlight and reflecting the environment perfectly."
VID_MAC_084,Macro/Detail,Fabric/Upholstery,Rack Focus,Soft lighting,"Close-up on high-end furniture fabric. Start completely out of focus (creamy bokeh), smoothly rack focus to reveal the sharp, intricate weave of the upholstery."
VID_MAC_085,Macro/Detail,Foliage/Plants,Handheld Macro,Leaves trembling,"Macro shot of an indoor plant leaf against a window. Cinematic handheld breathing. The leaf trembles very slightly as if touched by an AC breeze."
VID_MAC_086,Macro/Detail,Leather/Patina,Tilt Down,Light roll-off,"Close-up on a leather chair. Smooth tilt down. The specular light rolls off the curves and creases of the leather, highlighting its premium quality."
VID_MAC_087,Macro/Detail,Architectural Seam,Push In,Perfect geometry,"Extreme close-up of where hardwood floor meets marble tile. Slow push-in. Emphasizes perfect craftsmanship and straight, rigid lines. No AI morphing of the seam."
VID_MAC_088,Macro/Detail,Brick/Masonry,Lateral Slide,Shadow play,"Close-up on an exposed brick wall. Horizontal slider move. The deep shadows in the mortar joints shift dynamically with the 3D parallax."
VID_MAC_089,Macro/Detail,Light Fixture,Subtle Orbit,Bulb filament,"Macro shot of a bare filament bulb or luxury pendant. Very slow orbit. The glowing filament remains sharp while the background spins in soft bokeh."
VID_MAC_090,Macro/Detail,Faucet/Water,Static Close-up,Drop falling,"Macro locked-off shot of a matte black bathroom faucet. A single, photorealistic drop of water forms, catches the light, and falls seamlessly into the sink."
VID_HYP_091,High-Energy,Speed Ramp,Fast Push -> Slow,Kinetic energy,"Start with aggressively fast push toward the kitchen island, suddenly speed-ramp into extreme, buttery slow-motion right before impact. Intense cinematic weight."
VID_HYP_092,High-Energy,Whip Pan Left,Blur to Sharp,Transition,"High-speed whip pan to the left. The scene blurs entirely into horizontal streaks, then snaps perfectly into sharp focus on the new architectural subject."
VID_HYP_093,High-Energy,Push Through,Object passage,Depth illusion,"Camera pushes rapidly forward, passing physically *through* the gap between two foreground objects to reveal the wide room behind."
VID_HYP_094,High-Energy,Crash Zoom,Snap Focus,Detail highlight,"Camera executes a rapid, jarring 'crash zoom' (instant optical magnification) from a wide shot directly into a tight detail of a high-end fixture."
VID_HYP_095,High-Energy,360 Roll,Barrel Roll,Disorienting/Cool,"Interior hallway. Camera moves forward while executing a slow, deliberate 360-degree barrel roll (rotation on the Z-axis). Perfect geometric retention."
VID_HYP_096,High-Energy,The Zolly Snap,Rapid Dolly Zoom,Warp speed,"Extreme, fast-paced Dolly Zoom. Foreground object remains locked in frame while the background violently compresses behind it in a fraction of a second."
VID_SML_097,Seamless Bridge,Start->End Anchor,Ramped Pan,Temporal stability,"Start static on Anchor A. Ease into a horizontal pan right. Decelerate perfectly to match the exact composition, lighting, and geometry of Anchor C."
VID_SML_098,Seamless Bridge,Start->End Anchor,Arc Connection,No geometry warp,"Bridge Frame A and Frame C with a cinematic 3D arc shot. Maintain structural rigidity of the corners. No AI hallucination or morphing occurs during the bridge."
VID_SML_099,Seamless Bridge,Start->End Anchor,Vertical Pedestal,Lighting consistency,"Connect low-angle Anchor A to high-angle Anchor C via a smooth vertical lift. Ceiling architecture and lighting fixtures remain consistent throughout motion."
VID_SML_100,Seamless Bridge,Start->End Anchor,The Grand Reveal,Zero jitter,"Absolute perfection. Start with zero jitter on Frame A. Execute a sweeping push-through of the threshold, landing perfectly aligned with the wide-shot geometry of Frame C."
